c1,xvar1,xvar2
.49818754,log_consumption,L_log_consumption
.014163542,log_consumption,L_log_liq_wealth
.0059284894,log_consumption,L_log_housing_wealth
.083457053,log_consumption,L_log_income
.0045287185,log_consumption,L_log_mortgage
.044938672,log_consumption,L_WHtM
.052855313,log_consumption,L_PHtM
.095304847,log_consumption,L_housing
.037742026,log_consumption,age
-.00075487507,log_consumption,age2
4.2719098e-06,log_consumption,age3
.1925965,log_consumption,bought
3.2627277,log_consumption,_cons
.1219065,log_liq_wealth,L_log_consumption
.4462229,log_liq_wealth,L_log_liq_wealth
.084964156,log_liq_wealth,L_log_housing_wealth
.3235459,log_liq_wealth,L_log_income
.001499934,log_liq_wealth,L_log_mortgage
-.38094077,log_liq_wealth,L_WHtM
-.082416512,log_liq_wealth,L_PHtM
-.0046931054,log_liq_wealth,L_housing
-.083890602,log_liq_wealth,age
.0012589901,log_liq_wealth,age2
-2.9694229e-06,log_liq_wealth,age3
.53792018,log_liq_wealth,bought
-.12030878,log_liq_wealth,_cons
.028118048,log_housing_wealth,L_log_consumption
.028353525,log_housing_wealth,L_log_liq_wealth
.50812221,log_housing_wealth,L_log_housing_wealth
.069698386,log_housing_wealth,L_log_income
-.00086942833,log_housing_wealth,L_log_mortgage
-.86793947,log_housing_wealth,L_WHtM
.16755086,log_housing_wealth,L_PHtM
4.9008064,log_housing_wealth,L_housing
-.18855979,log_housing_wealth,age
.0050009661,log_housing_wealth,age2
-.000037304755,log_housing_wealth,age3
9.6559591,log_housing_wealth,bought
.6533075,log_housing_wealth,_cons
.32009634,log_income,L_log_consumption
.041540578,log_income,L_log_liq_wealth
.0042083613,log_income,L_log_housing_wealth
.38455114,log_income,L_log_income
.016212244,log_income,L_log_mortgage
.066171221,log_income,L_WHtM
.02206224,log_income,L_PHtM
.041691896,log_income,L_housing
.11543216,log_income,age
-.0025171565,log_income,age2
.000017281835,log_income,age3
.22911349,log_income,bought
1.483593,log_income,_cons
.056376521,log_mortgage,L_log_consumption
.0065503134,log_mortgage,L_log_liq_wealth
.028489405,log_mortgage,L_log_housing_wealth
.13303532,log_mortgage,L_log_income
.66618997,log_mortgage,L_log_mortgage
-.10645463,log_mortgage,L_WHtM
-.16916704,log_mortgage,L_PHtM
1.9172488,log_mortgage,L_housing
-.011188271,log_mortgage,age
.0010389062,log_mortgage,age2
-.000015744379,log_mortgage,age3
8.2055712,log_mortgage,bought
-1.9114661,log_mortgage,_cons
.017807987,WHtM,L_log_consumption
-.00032587725,WHtM,L_log_liq_wealth
-.0081415772,WHtM,L_log_housing_wealth
-.0091885952,WHtM,L_log_income
.002595277,WHtM,L_log_mortgage
.40162179,WHtM,L_WHtM
.069148533,WHtM,L_PHtM
.28576729,WHtM,L_housing
-.022408271,WHtM,age
.00060547999,WHtM,age2
-5.0650506e-06,WHtM,age3
.47566706,WHtM,bought
.13216622,WHtM,_cons
.0073217922,PHtM,L_log_consumption
-.0010675715,PHtM,L_log_liq_wealth
-.0035337324,PHtM,L_log_housing_wealth
-.013526984,PHtM,L_log_income
.000019022797,PHtM,L_log_mortgage
.075072125,PHtM,L_WHtM
.3915211,PHtM,L_PHtM
-.37308773,PHtM,L_housing
.026045345,PHtM,age
-.00052588707,PHtM,age2
3.3463814e-06,PHtM,age3
-.57393092,PHtM,bought
.11494366,PHtM,_cons
-.00087610382,housing,L_log_consumption
.00026179021,housing,L_log_liq_wealth
.0060545648,housing,L_log_housing_wealth
.004440675,housing,L_log_income
.0025041446,housing,L_log_mortgage
-.045928713,housing,L_WHtM
-.0043569151,housing,L_PHtM
.86258888,housing,L_housing
-.0032595284,housing,age
.00011566327,housing,age2
-9.5015554e-07,housing,age3
.99823022,housing,bought
-.028297035,housing,_cons
